mandal_name,also_known_as,area,address,latitude,longitude,place_id,coord_source,coord_precision,verification,qa_flag
Sai Ganesh Sadan Sarvajanik Ganeshotsav Mandal,,Dadar West,"Senapati Bapat Marg, Dadar West, Mumbai, Maharashtra 400028",19.01498767,72.83863764,,prior_file,unknown,unverified,
Shiv Sai Sarvajanik Ganeshotsav Mandal,,Elphinstone,"B.M. Marg, Elphinstone, Mumbai, Maharashtra 400013",19.00559732,72.83250536,,prior_file,unknown,unverified,
Ghatkopar Amar Mitra Mandal,,Ghatkopar East,"Tilak Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",19.06690855,72.89446654,,prior_file,unknown,unverified,
Mumbaicha Maharaja,,Girgaon,"11th Lane, Khetwadi, Girgaon, Mumbai, Maharashtra 400004",18.95954443,72.8212155,,prior_file,unknown,unverified,
Grant Road Cha Raja Sarvajanik Ganesh Utsav Mandal,,Grant Road East,"26, Pathe Bapurao Road, Bharat Nagar, Grant Road East, Mumbai, Maharashtra 400008",18.96415257,72.82043574,,prior_file,unknown,unverified,
Shree Ganesh Mitra Mandal Oshiwara,,Jogeshwari West,"Ram Mandir Road, Somani Gram, Oshiwara, Jogeshwari West, Mumbai, Maharashtra 400104",19.14942675,72.85048162,,prior_file,unknown,unverified,
Balla Mitra Mandal,,Kandivali West,"Kandivali West, Mumbai, Maharashtra 400067",19.212,72.83,,prior_file,area_centroid,unverified,
Kanjurmarg East Shivshakti Sarvajanik Ganeshotsav Mandal,,Kanjurmarg East,"Kanjurmarg East, Mumbai, Maharashtra 400042",19.13310557,72.93625626,,prior_file,unknown,unverified,
Akhil Chandanwadi Ganeshotsav Mandal,,Marine Lines,"7, Chandan Wadi Road, Kamathi Wada, Marine Lines, Mumbai, Maharashtra 400002",18.94597674,72.82554013,,prior_file,unknown,unverified,
Mulund Sargam Mitra Mandal,,Mulund West,"Mulund West, Mumbai, Maharashtra 400080",19.17192805,72.95255823,,prior_file,unknown,unverified,
Parel Sarvajanik Ganeshotsav Bal Gopal Mandal,,Parel,"Parel, Mumbai, Maharashtra 400012",18.99580533,72.8466809,,prior_file,unknown,unverified,
Parelcha Raja,,Parel,"Nare Park, Bhivajirao Nare Udyan, Parel, Mumbai, Maharashtra 400012",19.00006399,72.83888509,,prior_file,unknown,unverified,
Bal Gopal Mitra Mandal,,Parel East,"Parel East, Mumbai, Maharashtra 400012",18.99580533,72.8466809,,prior_file,unknown,unverified,same_coords_as::Parel Sarvajanik Ganeshotsav Bal Gopal Mandal
Shri Golden Ganesh Mitra Mandal,,Sion East,"Indira Nagar Cooperative Housing Society, Sion East, Mumbai, Maharashtra 400037",19.03683953,72.86401706,,prior_file,unknown,unverified,
Sion Koliwada Star Boys Mitra Mandal,,Sion Koliwada,"Sion Koliwada, Mumbai, Maharashtra 400022",19.03646976,72.86414264,,prior_file,unknown,unverified,
Star Boys Mitra Mandal,,Sion Koliwada,"Sion Koliwada, Mumbai, Maharashtra 400022",19.037,72.865,,prior_file,area_centroid,unverified,
Tulshiwadi Sarvajanik Ganeshotsav Mandal,,Tardeo,"101, Tardeo Road, Malviya Nagar, Tardeo, Mumbai, Maharashtra 400034",18.97503527,72.81266014,,prior_file,unknown,unverified,
Vikhroli Balmitra Kala Mandal,,Vikhroli East,"Vikhroli East, Mumbai, Maharashtra 400083",19.11147888,72.92656074,,prior_file,unknown,unverified,
